"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"CIT","2026-03-03","1789.6","1805","1778","1803","0.75 %","8,293.00","14,896,261.50"
"CIT","2026-03-01","1760","1798","1745","1789.5","1.16 %","10,523.00","18,718,353.30"
"CIT","2026-02-26","1765","1771.5","1758","1769","0.80 %","6,296.00","11,113,527.70"
"CIT","2026-02-25","1750","1755","1748","1755","0.28 %","5,638.00","9,882,009.90"
"CIT","2026-02-24","1742","1755","1737","1750.1","0.49 %","8,589.00","15,020,595.40"
"CIT","2026-02-23","1747.9","1750","1740","1741.5","0.03 %","4,859.00","8,474,064.40"
"CIT","2026-02-22","1740","1755","1735.1","1741","0.32 %","13,081.00","22,816,582.70"
"CIT","2026-02-17","1750","1750","1735.1","1735.5","-0.32 %","14,124.00","24,570,854.20"
"CIT","2026-02-16","1760","1760","1740","1741","-0.85 %","6,167.00","10,766,153.10"
"CIT","2026-02-12","1755","1760","1755","1756","0.23 %","11,388.00","20,008,916.60"
"CIT","2026-02-11","1750","1755","1745","1752","0.71 %","13,510.00","23,608,906.00"
"CIT","2026-02-10","1746","1750","1739","1739.7","-0.31 %","9,987.00","17,391,523.40"
"CIT","2026-02-09","1757","1760","1745.1","1745.1","-0.85 %","7,907.00","13,844,653.90"
"CIT","2026-02-08","1783","1783","1755","1760","0.11 %","10,344.00","18,203,345.00"
"CIT","2026-02-05","1760","1762","1750","1758","-0.06 %","6,960.00","12,223,235.90"
"CIT","2026-02-04","1740","1768","1740","1759","0.06 %","8,537.00","15,013,288.10"
"CIT","2026-02-03","1775","1785","1756","1758","-0.40 %","5,468.00","9,624,877.70"
"CIT","2026-02-02","1759","1780","1759","1765","0.05 %","5,866.00","10,352,083.50"
"CIT","2026-02-01","1773","1780","1752","1764.1","-0.50 %","5,944.00","10,525,524.30"
"CIT","2026-01-29","1783","1783","1771","1773","-0.56 %","8,369.00","14,855,948.10"
"CIT","2026-01-28","1797.9","1797.9","1770","1783","0.06 %","10,328.00","18,378,911.80"
"CIT","2026-01-27","1790","1798","1775","1782","-0.39 %","13,637.00","24,356,939.30"
"CIT","2026-01-26","1800","1818.1","1780","1789","-0.44 %","16,632.00","29,851,106.00"
"CIT","2026-01-25","1799.9","1800","1775","1796.9","1.23 %","14,842.00","26,540,156.50"
"CIT","2026-01-22","1777","1785","1770","1775","-0.11 %","6,255.00","11,096,949.80"
"CIT","2026-01-21","1770","1800","1770","1776.9","0.11 %","5,599.00","9,951,255.00"
"CIT","2026-01-20","1800","1800","1769.3","1775","0.50 %","10,948.00","19,500,579.60"
"CIT","2026-01-18","1780","1785","1765.2","1766.1","-0.45 %","11,569.00","20,508,592.10"
"CIT","2026-01-14","1790","1790","1770","1774","-0.06 %","3,522.00","6,251,939.50"
"CIT","2026-01-13","1766","1790","1752","1775","0.06 %","8,562.00","15,188,486.70"
"CIT","2026-01-12","1775","1780","1770","1774","-0.28 %","5,719.00","10,154,150.40"
"CIT","2026-01-08","1780","1785","1770","1779","-0.06 %","3,923.00","6,966,326.30"
"CIT","2026-01-07","1770","1785","1770","1780","0.56 %","12,273.00","21,817,646.50"
"CIT","2026-01-06","1770.5","1780","1769","1770","-0.03 %","6,494.00","11,509,091.50"
"CIT","2026-01-05","1781","1809","1770.5","1770.5","0.99 %","14,342.00","25,538,864.40"
"CIT","2026-01-04","1849","1849.5","1832","1840.8","0.32 %","14,110.00","25,938,771.70"
"CIT","2026-01-01","1845","1848.9","1835","1835","-0.49 %","5,246.00","9,647,448.40"
"CIT","2025-12-31","1838","1858","1838","1844","0.38 %","3,462.00","6,389,999.00"
"CIT","2025-12-29","1837","1841","1827","1837","0.60 %","5,627.00","10,336,820.40"
"CIT","2025-12-28","1831","1831","1797","1826.1","0.92 %","11,465.00","20,720,854.10"
"CIT","2025-12-24","1814","1815","1807","1809.5","0.14 %","8,411.00","15,237,836.20"
"CIT","2025-12-23","1830","1830","1780","1807","-0.99 %","12,749.00","23,016,717.40"
"CIT","2025-12-22","1840","1840","1801.1","1825","-0.65 %","11,585.00","21,056,627.40"
"CIT","2025-12-21","1855","1855","1836.1","1837","-0.59 %","8,279.00","15,221,138.00"
"CIT","2025-12-18","1835.1","1850","1835","1847.9","-0.11 %","5,035.00","9,268,914.90"
"CIT","2025-12-17","1850","1855","1837","1850","0.00 %","6,389.00","11,803,538.40"
