"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NABIL","2026-03-03","508.9","508.9","497","504","1.00 %","53,465.00","26,848,394.60"
"NABIL","2026-03-01","497.9","500","494","499","0.22 %","58,125.00","28,963,339.10"
"NABIL","2026-02-26","498","499","496.5","497.9","0.38 %","32,698.00","16,267,191.00"
"NABIL","2026-02-25","497","499","495","496","0.00 %","30,849.00","15,328,310.30"
"NABIL","2026-02-24","496","497.9","495","496","0.12 %","33,305.00","16,521,094.80"
"NABIL","2026-02-23","494.5","498.6","493","495.4","0.08 %","57,825.00","28,657,902.80"
"NABIL","2026-02-22","497.8","497.8","490","495","-0.40 %","43,286.00","21,371,862.20"
"NABIL","2026-02-17","495","498.5","492","497","-0.18 %","90,768.00","44,975,581.70"
"NABIL","2026-02-16","498.7","498.8","493","497.9","0.59 %","82,231.00","40,828,153.50"
"NABIL","2026-02-12","495","498.7","492.5","495","-0.20 %","83,293.00","41,246,451.30"
"NABIL","2026-02-11","500","500","495","496","-0.08 %","42,061.00","20,905,981.10"
"NABIL","2026-02-10","496","499.8","492.1","496.4","0.10 %","63,267.00","31,386,145.50"
"NABIL","2026-02-09","499","499","494","495.9","-0.52 %","68,038.00","33,764,079.00"
"NABIL","2026-02-08","497.3","500.9","497","498.5","-0.16 %","75,640.00","37,753,491.40"
"NABIL","2026-02-05","499.9","501","496.5","499.3","0.65 %","98,644.00","49,234,318.50"
"NABIL","2026-02-04","489","502","489","496.1","-0.38 %","49,627.00","24,731,834.80"
"NABIL","2026-02-03","500","500","496","498","-0.16 %","78,804.00","39,301,639.40"
"NABIL","2026-02-02","488.2","500","488.2","498.8","0.14 %","61,083.00","30,416,105.60"
"NABIL","2026-02-01","500","506","497","498.1","0.22 %","84,076.00","41,889,487.50"
"NABIL","2026-01-29","500","508","493","497","1.02 %","132,087.00","65,706,865.40"
"NABIL","2026-01-28","492.1","495","490.1","492","-0.59 %","48,841.00","24,022,794.90"
"NABIL","2026-01-27","497","500","492.1","494.9","-0.42 %","72,291.00","35,899,477.50"
"NABIL","2026-01-26","501","504","496","497","-0.04 %","109,372.00","54,595,184.20"
